"@Stephbusta - hey what happened to your youtube account  nooooooo makeup guru ","neg","NO_QUERY","0"
"Randomly in a very good mood today.   I hope it lasts.","pos","NO_QUERY","0"
"@WeeMagic lol no think hes making a bolognese - i dnt care as long as its pasta...im starvin!! ","pos","NO_QUERY","0"
"Watched Dead na si Lolo. So funny. But behind those laughs i felt really sad. Suddenly, I miss my tatay so much ","neg","NO_QUERY","0"
"I must go everyone. Have a splendid day. ","pos","NO_QUERY","0"
"Gotta Go do laundry, then bed.  Night everyone. **","pos","NO_QUERY","0"
"oh gosh. 46 stories to read. Oh my ","pos","NO_QUERY","0"
"@smitch2008 i know. that's what i said ","neg","NO_QUERY","0"
"Haha just ate a pancake at like 10pm. Goodnight.  Must. Go. To. Sleep. Early. ","pos","NO_QUERY","0"
"told my mom the green salsa is called &quot;whorepepper&quot;...and she totally believed me  haha","pos","NO_QUERY","0"
"I need to vent before I explode ","neg","NO_QUERY","0"
"@Moneyklip lol I knoooow ","neg","NO_QUERY","0"
"@Anonymousboy03 Plans for school stuff &amp; a performance of Othello we're gonna watch on Thurs. &amp; I hate that happening with Photography! ","neg","NO_QUERY","0"
"I don't know, maybe. Can't decide what to choose. I suck at this ","neg","NO_QUERY","0"
"is making something for LEAH JUNIA  http://plurk.com/p/ytkun","pos","NO_QUERY","0"
"Chillin at Mel's.. Bourbon tonight for Ash's birthday... I think I might have the death cold... Boo ","neg","NO_QUERY","0"
"@katyperry  is that the one with the dog stunt? ewww!  ","neg","NO_QUERY","0"
"Uploading new video!!! On my youtube www.youtube.com/2happymonkeys ","pos","NO_QUERY","0"
"@DjNocturnal Wow that is some super awesome achievement!!! (I'm actually laughing at you on the inside) ","pos","NO_QUERY","0"
"Yikes...I'm not quite sure what I've set up, but a blog mysteriously posted straight from my email. I'm glad there was no content.  ","pos","NO_QUERY","0"
"@bhavis I thought it was your wedding invitation ","pos","NO_QUERY","0"
"@meredithmarsh lol, don't forget to do the Yoga, great stretching exercise ","pos","NO_QUERY","0"
"Trying to figure out what to wear for my interview tomorrow! ","pos","NO_QUERY","0"
"@argylewhale Hooray! That's great! And about time you got some good news. ","pos","NO_QUERY","0"
"at work got sore mouth after having a tooth out ","neg","NO_QUERY","0"
"missed @atevensmithsays live on cnn, damn ","neg","NO_QUERY","0"
"Watching my moviee ","pos","NO_QUERY","0"
"@forestfrolic if you go, I will cry. ","neg","NO_QUERY","0"
"Sleeep..... work in the morning!! ","neg","NO_QUERY","0"
"@Foxy_HotSawce your new photo is very cute ","pos","NO_QUERY","0"
"@emmabremner I think yasmina will do a better job of the task, unless she screws up... But I think Suralan has a soft spot for the brummy ","pos","NO_QUERY","0"
"is chillin at the house having a good time watching seinfeld ","pos","NO_QUERY","0"
"What a PHENOMENAL show. If u get the chance, go see this band-  @sjfoundation. You will NOT regret it! ","pos","NO_QUERY","0"
"&lt;3 Beatles Rockband, watching today's E3 recorded from G4 ","pos","NO_QUERY","0"
"lol first proper shave  feels good","pos","NO_QUERY","0"
"Just finished chatting with Denver ","pos","NO_QUERY","0"
"@DominicTravers That's very cool indeed. I have many friends at Orange, they'll take care of you ","pos","NO_QUERY","0"
"I have a horrible headache...  Time for a nap I guess.","neg","NO_QUERY","0"
"@Ecris_appeal Follow mee  much lovee 2 @appealthegroup","pos","NO_QUERY","0"
"@OliverRanch McDonald's uses beef?  Sorry, really couldn't resist. I'm betting you see this response several times.","pos","NO_QUERY","0"
"@DENISE_RICHARDS That's the saddest thing I've ever seen ","neg","NO_QUERY","0"
"Is reconciling with his phone (still taking it back) so text or kall 2day might not b on tomorrow!  cheerio","neg","NO_QUERY","0"
